competitor,tier,first_observed_at,last_observed_at,monthly_price_usd,annual_price_usd,billing_unit,included_seats,is_free,is_enterprise,currency,provenance
Auth0,Free,2026-01-07T07:29:47.000Z,2026-09-04T07:00:56.783Z,0,,flat,,true,false,USD,mixed
Auth0,Essentials,2026-01-07T07:29:47.000Z,2026-09-04T07:00:56.783Z,35,,flat,,false,false,USD,mixed
Auth0,Professional,2026-01-07T07:29:47.000Z,2026-09-04T07:00:56.783Z,240,,flat,,false,false,USD,mixed
Auth0,Enterprise,2026-01-07T07:29:47.000Z,2026-09-04T07:00:56.783Z,,,flat,,false,true,USD,mixed
Buildkite,Pro,2025-08-29T11:09:15.000Z,2026-06-14T15:08:46.000Z,30,,per_seat,,false,false,USD,wayback
Buildkite,Enterprise,2025-08-29T11:09:15.000Z,2026-06-14T15:08:46.000Z,,,unknown,,false,true,USD,wayback
Buildkite,Personal,2025-11-15T03:17:40.000Z,2026-06-14T15:08:46.000Z,0,,flat,1,true,false,USD,wayback
Buildkite,All Access Trial,2026-05-12T12:06:40.000Z,2026-06-14T15:08:46.000Z,0,,flat,,true,false,USD,wayback
Buildkite,Free Plan,2026-08-19T00:12:36.000Z,2026-08-31T07:01:23.964Z,0,,flat,5,true,false,USD,mixed
Buildkite,Pro Plan,2026-08-19T00:12:36.000Z,2026-08-31T07:01:23.964Z,30,,per_seat,50,false,false,USD,mixed
Buildkite,Enterprise Plan,2026-08-19T00:12:36.000Z,2026-08-31T07:01:23.964Z,,,unknown,,false,true,USD,mixed
Buildkite,Free,2026-09-02T07:01:25.706Z,2026-09-04T07:01:31.484Z,0,,flat,5,true,false,USD,live
Buildkite,Pro,2026-09-02T07:01:25.706Z,2026-09-04T07:01:31.484Z,30,,per_seat,50,false,false,USD,live
Buildkite,Enterprise,2026-09-02T07:01:25.706Z,2026-09-04T07:01:31.484Z,,,unknown,,false,true,USD,live
Clerk,Pro,2025-09-01T12:00:47.000Z,2025-10-13T14:20:13.000Z,25,,flat,3,false,false,USD,wayback
Clerk,Enhanced Authentication add-on,2025-09-01T12:00:47.000Z,2025-10-13T14:20:13.000Z,100,,flat,,false,false,USD,wayback
Clerk,Enhanced B2B SaaS add-on,2025-09-01T12:00:47.000Z,2025-10-13T14:20:13.000Z,100,,flat,,false,false,USD,wayback
Clerk,Pro,2025-11-02T09:30:17.000Z,2026-01-11T18:21:15.000Z,25,,usage,3,false,false,USD,wayback
Clerk,Free,2025-09-01T12:00:47.000Z,2026-01-11T18:21:15.000Z,0,,flat,3,true,false,USD,wayback
Clerk,Pro,2026-02-09T09:14:48.000Z,2026-02-09T09:14:48.000Z,20,20,flat,1,false,false,USD,wayback
Clerk,Pro,2026-03-02T14:21:32.000Z,2026-03-02T14:21:32.000Z,20,20,flat,,false,false,USD,wayback
Clerk,Pro,2026-04-18T19:16:04.000Z,2026-04-18T19:16:04.000Z,20,20,flat,3,false,false,USD,wayback
Clerk,Business,2026-02-09T09:14:48.000Z,2026-04-18T19:16:04.000Z,250,250,flat,10,false,false,USD,wayback
Clerk,Pro,2026-05-21T05:18:00.000Z,2026-05-21T05:18:00.000Z,20,,flat,3,false,false,USD,wayback
Clerk,Business,2026-05-21T05:18:00.000Z,2026-05-21T05:18:00.000Z,250,,flat,10,false,false,USD,wayback
Clerk,Pro,2026-06-18T00:36:31.000Z,2026-07-03T07:39:12.000Z,20,20,flat,3,false,false,USD,wayback
Clerk,Pro,2026-08-09T17:09:08.000Z,2026-08-09T17:09:08.000Z,20,20,flat,,false,false,USD,wayback
